"filename", "language", "PHP", "MS SQL", "XML", "JavaScript", "Markdown", "CSS", "JSON", "YAML", "HTML", "SCSS", "Ruby", "Less", "comment", "blank", "total"
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosPostularse\EliminarPostulacionTrabajo.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosPostularse\EliminarPostulacionTrabajoCpanel.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosPostularse\VerficarPostarleTrabajo.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosRecordatorio\ModeloRecordatorioPerfil.php", "PHP", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosReferencias\ActualizarRefencia.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 50
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosReferencias\ActualizarRefencia2.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 50
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosReferencias\EliminarReferencia.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 41
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosReferencias\EliminarReferencia2.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 41
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosReferencias\NuevaRefencia.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 46
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosReferencias\NuevaRefencia2.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 46
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosTecnicos\EliminarTecnica.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 42
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosTecnicos\EliminarTecnica2.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 42
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosTecnicos\NuevaTecnica.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 42
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\ModelosTecnicos\NuevaTecnica2.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 42
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\cargos\buscarCargosAlertas.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 46
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\cargos\cargos.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 71
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\carreras\carreras.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 70
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\chats\EnviarChats.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 31
"c:\xampp\htdocs\bolsaEmpleo\Dashboard\Candidato\Modelos\chats\chatslive-scroll.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 33
